Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2016-01-05,491615,47803,143946,-96143,19.557
2016-01-12,506373,60470,131598,-71128,14.047
2016-01-19,500412,55490,125948,-70458,14.08
2016-01-26,486726,60655,111354,-50699,10.416
2016-02-02,502064,67534,116219,-48685,9.697
2016-02-09,547245,61665,142710,-81045,14.81
2016-02-16,564052,62638,147005,-84367,14.957
2016-02-23,510901,59066,157746,-98680,19.315
2016-03-01,526908,57740,165217,-107477,20.398
2016-03-08,529522,60186,152636,-92450,17.459
2016-03-15,524685,62686,130192,-67506,12.866
2016-03-22,535602,57610,139447,-81837,15.279
2016-03-29,534234,63062,132894,-69832,13.071
2016-04-05,553313,64268,132006,-67738,12.242
2016-04-12,591360,53407,159570,-106163,17.952
2016-04-19,593880,58511,146752,-88241,14.858
2016-04-26,506947,63822,124627,-60805,11.994
2016-05-03,501622,60700,122941,-62241,12.408
2016-05-10,518973,55828,134009,-78181,15.065
2016-05-17,503740,56712,129287,-72575,14.407
2016-05-24,505986,44609,134245,-89636,17.715
2016-05-31,506509,46399,137390,-90991,17.964
2016-06-07,524642,60434,113754,-53320,10.163
2016-06-14,528801,63714,111949,-48235,9.122
2016-06-21,533609,55652,118940,-63288,11.86
2016-06-28,469486,54888,136874,-81986,17.463
2016-07-05,520417,53372,155616,-102244,19.647
2016-07-12,545083,54737,169405,-114668,21.037
2016-07-19,567300,57225,173831,-116606,20.555
2016-07-26,561410,59891,190075,-130184,23.189
2016-08-02,585850,62813,191871,-129058,22.029
2016-08-09,551337,63819,182474,-118655,21.521
2016-08-16,543878,65286,171024,-105738,19.441
2016-08-23,556989,70518,174495,-103977,18.668
2016-08-30,526618,70043,191916,-121873,23.143
2016-09-06,547593,74225,206802,-132577,24.211
2016-09-13,556437,73515,198953,-125438,22.543
2016-09-20,555192,74957,202222,-127265,22.923
2016-09-27,555160,74844,206261,-131417,23.672
2016-10-04,573057,72075,223492,-151417,26.423
2016-10-11,580214,71775,207181,-135406,23.337
2016-10-18,585472,84334,186585,-102251,17.465
2016-10-25,598860,78251,201638,-123387,20.604
2016-11-01,601362,80108,190740,-110632,18.397
2016-11-08,610807,81476,192822,-111346,18.229
2016-11-15,635308,71127,203480,-132353,20.833
2016-11-22,627850,79744,193966,-114222,18.193
2016-11-29,520547,79495,198004,-118509,22.766
2016-12-06,537020,79575,195495,-115920,21.586
2016-12-13,546827,90763,183692,-92929,16.994
2016-12-20,553323,85196,188791,-103595,18.722
2016-12-27,549259,84840,193767,-108927,19.832
2017-01-03,563521,89362,192955,-103593,18.383
2017-01-10,585192,90164,175132,-84968,14.52
2017-01-17,613233,90549,175566,-85017,13.864
2017-01-24,603848,86072,174771,-88699,14.689
2017-01-31,599014,80474,179561,-99087,16.542
2017-02-07,589307,86932,169479,-82547,14.007
2017-02-14,607685,98126,138173,-40047,6.59
2017-02-21,586032,96446,123831,-27385,4.673
2017-02-28,475061,88342,143808,-55466,11.676
2017-03-07,503549,87563,150743,-63180,12.547
2017-03-14,547722,78034,178663,-100629,18.372
2017-03-21,591157,79140,200145,-121005,20.469
2017-03-28,605728,75261,211411,-136150,22.477
2017-04-04,616119,73476,212310,-138834,22.534
2017-04-11,613152,77506,211965,-134459,21.929
2017-04-18,620081,75475,217601,-142126,22.921
2017-04-25,594469,75341,237668,-162327,27.306
2017-05-02,557093,80603,205241,-124638,22.373
2017-05-09,531789,83822,191714,-107892,20.288
2017-05-16,558645,85525,206910,-121385,21.728
2017-05-23,566325,88831,202042,-113211,19.99
2017-05-30,566189,89304,203064,-113760,20.092
2017-06-06,576156,91969,198105,-106136,18.421
2017-06-13,556853,93101,175960,-82859,14.88
2017-06-20,588265,105363,126334,-20971,3.565
2017-06-27,480455,101380,111538,-10158,2.114
2017-07-03,547262,113929,95926,18003,3.29
2017-07-11,590898,121224,76539,44685,7.562
2017-07-18,581547,113138,77212,35926,6.178
2017-07-25,541295,101874,74024,27850,5.145
2017-08-01,563534,97730,85540,12190,2.163
2017-08-08,572828,91031,105132,-14101,2.462
2017-08-15,596902,85312,119548,-34236,5.736
2017-08-22,650366,81512,148263,-66751,10.264
2017-08-29,547694,82760,160289,-77529,14.156
2017-09-05,548879,85700,172270,-86570,15.772
2017-09-12,548631,85350,169095,-83745,15.264
2017-09-19,548266,91436,171004,-79568,14.513
2017-09-26,533550,94459,159158,-64699,12.126
2017-10-03,552053,97306,153781,-56475,10.23
2017-10-10,583852,98389,166118,-67729,11.6
2017-10-17,608080,93746,171438,-77692,12.777
2017-10-24,647209,93312,177277,-83965,12.973
2017-10-31,702662,90193,201068,-110875,15.779
2017-11-07,708502,85617,210702,-125085,17.655
2017-11-14,704038,92025,200601,-108576,15.422
2017-11-21,697047,94251,202917,-108666,15.589
2017-11-28,598396,93771,216545,-122774,20.517
2017-12-05,581401,93671,212452,-118781,20.43
2017-12-12,644349,86166,243818,-157652,24.467
2017-12-19,652326,90022,243599,-153577,23.543
2017-12-26,622514,86886,232621,-145735,23.411
2018-01-02,626431,90573,218751,-128178,20.462
2018-01-09,639461,91713,220703,-128990,20.172
2018-01-16,669281,88146,231085,-142939,21.357
2018-01-23,682931,84468,229876,-145408,21.292
2018-01-30,681306,88118,184881,-96763,14.203
2018-02-06,673598,91349,174743,-83394,12.38
2018-02-13,665032,86341,143172,-56831,8.546
2018-02-20,639559,85634,152673,-67039,10.482
2018-02-27,559662,83254,143886,-60632,10.834
2018-03-06,615814,85956,118487,-32531,5.283
2018-03-13,635650,79582,115166,-35584,5.598
2018-03-20,613525,67307,123414,-56107,9.145
2018-03-27,623639,65125,142877,-77752,12.467
2018-04-03,629801,67664,141082,-73418,11.657
2018-04-10,630569,74549,129421,-54872,8.702
2018-04-17,612485,75766,125904,-50138,8.186
2018-04-24,582582,75707,130420,-54713,9.391
2018-05-01,612147,91765,120467,-28702,4.689
2018-05-08,611968,101468,97142,4326,0.707
2018-05-15,605554,98109,103631,-5522,0.912
2018-05-22,652504,96817,98502,-1685,0.258
2018-05-29,696143,108100,92782,15318,2.2
2018-06-05,687020,104374,88088,16286,2.371
2018-06-12,699899,103530,88627,14903,2.129
2018-06-19,652757,94125,94877,-752,0.115
2018-06-26,589541,89897,102374,-12477,2.116
2018-07-03,595898,88121,90046,-1925,0.323
2018-07-10,598545,87423,87669,-246,0.041
2018-07-17,610468,88809,85252,3557,0.583
2018-07-24,599702,98912,74970,23942,3.992
2018-07-31,650116,117435,64503,52932,8.142
2018-08-07,678322,130472,65885,64587,9.522
